Country Name,Country Code,Series Name,Series Code,1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.32,14.23,14.101,13.924,13.701,13.464,13.216,12.954,12.702,12.47,12.288,12.176,12.134,12.156,12.245,12.396,12.617,12.925,13.308,13.728,14.172,14.608,15.034,15.97,16.94,17.945,18.985,20.061,19.493,18.765,16.412,14.69,6.225,6.26,6.211
Albania,ALB,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.287,51.66,52.397,51.472,50.643,49.336,48.407,49.608,48.667,47.275,46.421,45.362,44.748,41.938,39.176,36.483,33.879,31.385,29.018,30.066,27.674,36.183,27.882,19.228,20.488,23.085,26.346,25.25,27.704,29.844,27.595,27.763,27.111,27.006,26.989
Algeria,DZA,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.564,15.532,15.475,15.456,15.427,15.359,15.29,14.622,13.979,13.36,12.764,12.191,11.64,11.111,10.603,10.116,9.648,9.2,8.771,8.36,8.93,8.836,8.743,8.651,8.56,8.8,7.998,7.967,7.942,7.924,7.19,7.401,7.374,7.322,7.297
American Samoa,ASM,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.938,59.154,59.368,59.602,59.747,59.791,59.771,59.716,59.636,59.552,59.451,59.335,59.2,59.09,58.974,58.872,58.802,58.748,58.73,58.762,58.786,57.343,56.949,56.551,56.148,55.741,55.331,54.918,54.502,54.083,51.958,53.573,52.054,52.42,52.134
Antigua and Barbuda,ATG,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.537,38.897,39.228,39.548,39.784,39.76,39.947,40.184,40.286,40.166,40.103,39.93,39.551,39.705,39.858,36.95,38.445,36.769,35.112,34.217,32.577,32.09,31.587,31.075,30.599,30.752,30.91,31.068,32.547,32.118,27.773,31.548,32.934,34.453,34.394
Armenia,ARM,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,41.536,40.813,42.309,42.024,41.492,40.724,40.341,39.933,39.565,39.498,38.693,38.107,43.554,35.437,33.584,34.566,33.873,34.157
Aruba,ABW,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
